tweet,Compound_Score,Sentiments
"hello, why is gojek so expensive",0.0,Positif
go-jek,0.0,Positif
Malang area gojek promo info,0.0,Positif
Gojek can still be poor,-0.4767,Negatif
good morning gojek sleep episode,0.4404,Positif
the account doesn't have any promotions even if you use gojek,0.0,Positif
"nang gojek in the hot sun, another level of pain",-0.5106,Negatif
rt gojek mulu,0.0,Positif
ifstalk abg gojek move,0.0,Positif
rt what power my gojek account smells like aka never get promos,0.3612,Positif
"right, grab a gojek, don't be nebeng",0.0,Positif
gojek brother,0.0,Positif
Here's gojek looking at the mirror mulu nutmeg gel pfft,0.0,Positif
"I'm healing sbux, the machine is gojek, sbux, my sister ordered me",0.0,Positif
"Did you say yesterday that you used the school phone and borrowed your cellphone using a gojek but didn't hesitate, how about you",0.3007,Positif
Chat me papa can't I go-jek automatically call chat Papa bring Allah's cellphone,0.0,Positif
"yes, when you go-jek, you are independent",0.4019,Positif
like a friend of a chat application gojek pretending to be a message driver,0.7269,Positif
"ask for a go-jek, when the swimming cape arrives",0.0,Positif
gojek goride,0.0,Positif
just gojek wkwkwkwk,0.0,Positif
hello,0.0,Positif
"like an account, rarely promos, rarely use gojek, use gojek, initial promo, make promo if it's royal gojek, gojek, royal kalean",0.3612,Positif
"watch at night, just take care, the ending is still gojek, it's full of natural",0.6908,Positif
wtb promo gojek grab,0.0,Positif
my motorcycle taxi era gojek,0.0,Positif
Brothers are more gojek,0.0,Positif
"When I was at school, I really wanted to come home in the afternoon, after the public transportation, I walked home when I was shaking at night, my go-jek friend was busy riding in a pick-up car.",0.3612,Positif
really gojek italy,0.0,Positif
"Order a Gojek when in a hurry, the driver really takes turns relaxing the driver or not",0.5367,Positif
can go-jek driver,0.0,Positif
"just waiting for the minute grgr gojek was wrong, really excited",-0.1045,Negatif
"can you apply for google maps, my house maps are directed to the cape portal",0.0,Positif
bsbsnya I'm tired this morning because I see brother Gojek smile at Pakpol even though it's not at me but it's sweet,0.5859,Positif
"kim waw so close when gojek doesn't see it, happy eating",-0.4585,Negatif
"the fate of the house is busy being contacted, gamau gojek",0.0,Positif
"Grab Go-Jek, finish dropping the order, tell me to give a rating for the customer rating app",0.0,Positif
"Bomball feels like when you go-jek, your skin hurts",-0.1531,Negatif
Congratulations on winning Gojek early morning Aliya,0.8074,Positif
live without using a gojek,0.0,Positif
"Gojek restaurant likes big promos, I'm hungry to eat",0.4215,Positif
"If you go-Jek, it's better to pay for it unless you use a vehicle, it's better",0.6597,Positif
maximgojekgrab doesn't want to take awikwok home,-0.0572,Negatif
Id add a small gojek is good,0.4404,Positif
"compatible like gojek, my cellphone works like when it works, open the app, close the app until I uninstall it",0.6124,Positif
"College life is really true, the Blue Bird Gojek driver gets the client's story",0.4754,Positif
Gojek Grab Maxim,0.0,Positif
"Well, I cant go-jek to read",0.2732,Positif
the father of the world savior gojek,0.0,Positif
why did gojek ever promote,0.3818,Positif
"I like gojek motorbikes, sometimes shifting gears",0.3612,Positif
alkaff asa uber gojek grab,0.0,Positif
thank you gojek subscribe,0.3612,Positif
my gojek penny hope,0.4404,Positif
"from home, really use Gojek, at least the commuter station near the end needs a motorbike, please move apartments, just walk for a minute to arrive",0.3182,Positif
breakfast is really gojek,0.0,Positif
stupid boy I gojek voucher applied,-0.5267,Negatif
"Gojek is really slow, gosh, gas",0.0,Positif
aaaaaa i'm pissed off,-0.6369,Negatif
reminded to have breakfast with gojek,0.0,Positif
"I called Mr. Gojek, did you see that old man, tt",0.0,Positif
anjir can ride me even though it's a gojek application,0.0,Positif
Gojek driver you know,0.0,Positif
Ayang Gojek gives breakfast ideas,0.0,Positif
mjb said that the city is worth a visit,0.2263,Positif
"Hartono's friends at the Jogja mall, Gojek Sender, just went down the road",0.4767,Positif
"In the past, star fruit gorge, nirwanasari alley, banjarsari, fpik campus, it was okay to go home, just go, but look for tebengangojek",0.1154,Positif
Gojek is expensive,0.0,Positif
Gojek aerox really feels like the seats are really helicopter view,0.4173,Positif
"weekend, change to go-jek profession",0.0,Positif
ugmfess hartono go-jek down the mall that way,0.0,Positif
"when it's time to go down, Setiabudi rshs gojek wearing shorts, good idea, Bandung is really cold and it's getting cloudy in the morning",0.4404,Positif
not fuck gojek,0.431,Positif
"tetot tetot helps crossing mostly go-jek, go-jek, brgkt and back on different paths",0.3818,Positif
Look at the name of the masterpiece Ayang Gojek,0.6249,Positif
actually it's wasteful to buy the gojek grab buy promo,0.0,Positif
my money is gone by gojek,0.0,Positif
topup brother gojek topup goride,0.0,Positif
no thx gojek,-0.2755,Negatif
The Gojek Fetish brother hears the sigh of overlapping fear,-0.4767,Negatif
if google products block suddenly gojek maps use google maps,-0.4404,Negatif
"Surprised to open a gojek account, I collect parking fees, Anji says, vows buname",0.2263,Positif
with my beloved gojek father,0.5106,Positif
rt holic morning laugh because seonho gojek driver,0.5574,Positif
like the gojek brother yesterday,0.3612,Positif
do you mean gojek grab,0.0,Positif
anying gojek hours gin asuu,0.0,Positif
order gojek lazy to sleep,-0.3612,Negatif
apk compatible hp sender like me like my gojek mobile apk gin,0.6124,Positif
I'm just confused about calculating the Gojek discount,-0.3182,Negatif
buy it with gojek cape,0.0,Positif
"fortunately, the Bandung city cs is damaged, it needs to be quickly sent by gojek until the hour arrives",-0.4404,Negatif
"tired, no gojek or gofood",-0.6249,Negatif
"from the drama, kang grab and gojek, in the morning, the mouth is sore, nauseated, tired, or not, the elbow has been tight",-0.6597,Negatif
Gojek Mount Everest aka you won't arrive,0.0,Positif
always happy gojek,0.5719,Positif
"the dilemma of going home to bogor, going down to st rubber gojek, the cost is muacetttt, nauzubillah continue to land",-0.1779,Negatif
xxi cafe gojek,0.0,Positif
"Have you ever seen a gojek, your neighbor, you didn't forget to give alms",0.1695,Positif
"If you want to be a gojek driver, just reply simply",0.0772,Positif
rt my gojek friend,0.4939,Positif
"If you feel bad about it, you will lose to the gojek driver",-0.7351,Negatif
on gojek,0.0,Positif
I think the bus from Sudimara station is the same as Tangerang Selatan bus from Ciputat market,0.0,Positif
"Transjakarta, okay, don't go there, gojek is expensive",0.2263,Positif
gueh gocargojek,0.0,Positif
anjrit ordered a taxi,0.0,Positif
"make gojek get a gojek promo, you know you're stingy with vouchers",-0.3818,Negatif
ooo anter gojek is handsome,0.4939,Positif
go down to st Jatinegara near gojek,0.0,Positif
"I take the bot with my brother, Gojek, and my son, wow",0.5859,Positif
waiting for gojek,0.0,Positif
"santuy sis naad if you are lazy to cook grabfood cents, large portions, no minimum order grabfood discounts sd forget to subscribe to the grabunlimited package save complete info sinitita",-0.34,Negatif
This is the cost of BWS asking a male neighbor to pick him up. Jember is finished. Trying to be matched.,0.0,Positif
A little teaser for you guys to grab embroidered pom poms today promo price you know rm hela exc postage bro,-0.1796,Negatif
rt skincare bulaney treatment essence full size awkkk with limited edition stika is available to grab,-0.2263,Negatif
Grabgojek pick up point Soetta terminal,0.0,Positif
"relax, I'll be accompanied by babang grab until bkt",0.4404,Positif
"Brother asked, grab and deliver, my husband is single, ohh, hopefully I find my soul mate, I think the thesis is finished, ovt, what should I do with the results",0.4019,Positif
"Hi, Sis, leave for the Istora Mandiri MRT Station, Lebak Bulus MRT Station, grab it at 4 p.m. We urge you to take care to protect your application, Sis, thank you",0.7964,Positif
"hi sister, grab car palu, pick up anter sister, go to get ready",0.3612,Positif
bulaney treatment essence fullsize awkkk with limited edition stika is there anything you want?,-0.1531,Negatif
Order things if you grab it until quarantine runs out,0.0,Positif
grab a light bulb,0.0,Positif
"If it's hard to grab, the vermuk is crazy unless you play in the oprek application",-0.1027,Negatif
"sometimes the motorcycle ride must have sweaty hands, it's comfortable, so the glove solution makes it easy for you to go for a ride, grab foodpanda link shopee thread",0.83,Positif
"like to deliver food at home, hours away, go home, like to buy something to eat, grab it and fill it with discounted ovo, invite to play games or understand what to accompany",0.802,Positif
you buy cendol courier grab,0.0,Positif
my friend wears a majestic satin shawl code ireland is so beautiful kannnn who satin shawl is mandatory,0.8588,Positif
"It's most comfortable to grab a driver, grab a meal, and take a break as planned",0.5563,Positif
Halu kirim shopi pakke grab against de semlen resi kurir pick up,0.0,Positif
"rt there is a sister of the victim, an older brother, please help the rider grab",0.4404,Positif
mk kian grab driver era,0.0,Positif
rt help makasihh ayo abisin layout ready stock keach payment via spay dana gopay hit,0.6369,Positif
lawoooooooo grab,0.0,Positif
special prismart promo special price grab it fast prismania limit stock thank you have,0.7845,Positif
opportunity to grab quickly Jake again,0.4215,Positif
"RT mami's food stall has opened a special take away shop, grab shopeefood gofood soon",0.2263,Positif
"For girls, pick up guys, go-jek, grab lazy, pick orders, my queen, sis",-0.3612,Negatif
look at the grabable kdj waist,0.0,Positif
"If you want coeslaw, don't order, grab it",0.0772,Positif
Grab is expensive and there is no public transport,-0.296,Negatif
carat fast like you want to grab a concert ticket fast hahahahahaha,0.4215,Positif
help makasihh ayo abisin layout ready stock keach payment via spay dana gop,0.6369,Positif
"wkwkwkwkwkwk it's okay actually sometimes Brother Grab likes to disguise, try to get to know mas single",0.4019,Positif
"first time grab a motorbike, brother, it's fun, I'm scared, my friend, brother",0.5574,Positif
rt toerah bang ojol jacket grab provocateur scary,-0.4939,Negatif
"Congratulations, I'm not going to grab you",0.5994,Positif
"Grab the Sunday bike subscription package, why isn't it available",0.0,Positif
gpp hbs finished the event go home sen grab wwkk,0.0,Positif
Gojek grab me a school kid voucher aka I'm really wasting school fees anjenggg,-0.4576,Negatif
tinggg masa prove your senior wrong so grab title,-0.4767,Negatif
"Brother Grab gives you a tip, thanks for being hungry for less money",0.4404,Positif
bes terminal lw unpad pati pati not ngor grab saab grab like expensive thank you,0.6124,Positif
"I just grabbed a grabbike and my brother came when I was walking near my motorbike. The motorbike fell beside me. The person was shocked and panicked. Auto shut up. He looked at his brother. Didn't help him wake up. I'm sorry, bro",-0.7819,Negatif
oh that's how it looks like trying to grab this is pretty good,0.8225,Positif
Order Grub Tu Reed's Cole Sur: Am:,0.0,Positif
"come back and grab this cookie, you know, I'm so excited to bite it",0.4795,Positif
there is an open verification number for grab drop fee,-0.2023,Negatif
rt swear cheap giler promo rm cup look pay rm just cup delivery pu,-0.4019,Negatif
grab it there,0.0,Positif
rt claim voucher grab discount voucher delivery voucher is worth your savings,0.2263,Positif
tak grab sold out,0.0,Positif
"It's okay, just grab it tomorrow",0.2263,Positif
brother grab only brother wan cyplash best,0.6369,Positif
waiting for red to grab food,0.0,Positif
fp the small area of ​​Jitra anak bukit if you grab Jitra intersection from four sides,0.0,Positif
near grab fp,0.0,Positif
"don't have to grab a month looking for a joint-venture friend, it's pretty cool",0.8271,Positif
oh month yes try to check grab,0.4019,Positif
skim fp grab profit skim,0.4404,Positif
bkt city just grab eueuueue I'm hungry,0.0,Positif
make grab gocar hotel a lot of taxis tonight bogor area,0.0,Positif
Thank God I grabbed Stella Orange yesterday,0.5574,Positif
twt you want to thank huda grab,0.4215,Positif
wkwkww bro grab the poem,0.0,Positif
please educate the gin mesen grab driver for long distance messages,0.3182,Positif
"RT helps RT sell out guys, takoyaki is already open, I'm coming to Indomaret Benowo sen",0.3818,Positif
after ward wanted to eat alhamdulillah nasip grab,0.0,Positif
rt storehq min open pre order cookies size postage next week selasa meh craving grab kara,-0.0772,Negatif
fpgrab full time jujur takda cover cover,0.0,Positif
"I don't know if it's a good offer, grab it, it's enough to be toxic to get rid of the crazy political office",0.128,Positif
"it's close to the house, just grab the goods",0.0,Positif
moots mas grab handsome star,0.4939,Positif
"bro, okay, grab it, it's easy",0.5859,Positif
wait you can grab the link,0.0,Positif
don't be grab doi,0.0,Positif
Grab car driver is handsome now,0.4939,Positif
gun grab liar,-0.6908,Negatif
grab a car pare yourself,0.0,Positif
Binmas Central AIPTU Agus PP Visits Ojol Community Grab Backgo Jack Bpadit Base Ojol Pos,0.0,Positif
wrong number there grab,-0.4215,Negatif
Tip order grub buffalo hupt sopi,0.0,Positif
"why don't you often play where you can pick up and pick up while papi is busy, you can't grab a motorbike, you have to be friends, actually my friends are relaxed, pick up and play, I use them often",0.8678,Positif
use grab promo,0.0,Positif
at churros ummu hafshah there go-jek grab gopud,0.0,Positif
This expert dago doubles with a cold grab jacket hoodie,0.0,Positif
Aaji Book Grab Ora Larissane,0.0,Positif
Rat Nakhre Love Syl Grab Coal,0.6369,Positif
grab lies,-0.4215,Negatif
rt light capture cafe if you get off the art market mrt walk grab it if you want to go fast interior,0.0772,Positif
done bismillah capital grab,0.0,Positif
anjayy brother ojol grab now my subscription is late,0.0,Positif
"The debt of ten thousand monthly salary is indeed a slave's end of spm, just choose grab panda, debt, no salary is good",-0.5106,Negatif
sit down heaven all things mall grab food shopee food foodpanda happy my,0.7906,Positif
"rt grab has lowered my head again, if you smile, it's okay if they're cheated on, they'll lose because they're a leo zodiac girl",-0.4767,Negatif
"First, grab the promise to obey discipline, grab the mafia management",0.3182,Positif
euh hours gin angkot is really lazy grab muahal pol rek,-0.4201,Negatif
"open the grab, you're too lazy to go there",-0.3612,Negatif
"how come i found it, grab it",0.0,Positif
"First the gojek applicator was bad, grab the human gojek applicator",-0.5423,Negatif
"About scooping up, you brother, grab foodpanda, wise people",0.4767,Positif
need voc grab bike diskon stasiun drop fee,-0.2732,Negatif
"ui airasia food tenant is still worth the promo, grab shopee food",0.2263,Positif
"oohhh my beautiful, I want to grab it",0.6369,Positif
"Hi, if you want to grab henna, DM me",0.0772,Positif
sherry calm down grab the list,0.3182,Positif
"it's okay, no boyfriend, brother, grab it",-0.0772,Negatif
please grab a bike sm goride a lot of discount voc ak poor anjrit,-0.2023,Negatif
"If you drink ret and cook it, throw it away because it's okay to grab and eat moss",0.2263,Positif
and grab,0.0,Positif
"At work, my mother told me to buy fruit grab",0.0,Positif
response thank you grab,0.3612,Positif
"Bro, grab food, sis at home",0.0,Positif
showing off I got a grab brother using an electric motorbike,0.0,Positif
"I'd like to grab an order, then I hope that the order will be brisk, amen",0.7184,Positif
rt they entertain thanks brother grab,0.6369,Positif
rt fever and appetite grab,0.0,Positif
rt trun grab mtap me shady brother sun kh trsnyum beautiful want to go back helmet ohh,0.6369,Positif
rt info driver grab mangkal really handsome nebeng,0.5413,Positif
read read grab grab gbs login ahaha,0.0,Positif
rt grab business indonesia does it make sense the parent company grab singapore moves to indonesia,0.0,Positif
"the original grabbike is expensive, how does it have to be with ojol pls add my promo using the grabaerek promo",0.3818,Positif
"If you want to sit in klselangor, you have to use a car, if you don't have a car, it's hard to get anywhere",-0.0258,Negatif
especially father item jacket grab,0.0,Positif
"if you don't have a car, you don't want to grab it",-0.0572,Negatif
I'm really tired of marking the home address of the locking algorithm accordingly,-0.4927,Negatif
"I bought coffee, go grab food, when I saw the price, I was shocked. Mails, it's better to buy a motorbike for a while",0.1531,Positif
I just want to tell you to grab the rider,0.0772,Positif
"kids escalation bayuaji driver grab the form of visualization, just add the playlist",0.0,Positif
nice try pdrm mask grab,0.4215,Positif
rt kalau rezeki phone personal phone phone grab battery pon drain,0.0,Positif
"I don't want to grab it, I'm tired, yall try",-0.4805,Negatif
"let alone wear a helmet, grab a shopee jacket, a crazy person's color",-0.5267,Negatif
yesterday bought discount grab,0.0,Positif
"I don't want to send it to the office, I'm too lazy to grab it until the door opens",-0.4063,Negatif
Malang grab driver account brought in a man and woman from a ghost for a while,-0.3182,Negatif
Lmaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa...,0.0,Positif
hey sharing promo disney grab disney login device sharing you guys can,0.6808,Positif
dear grab skl,0.3818,Positif
dream of picking up youngk plg enlistment story grab the wrong car fill in dow,-0.2732,Negatif
"my grab driver just started the story of his gait, the big ojol group, jogja, my moment went viral on facebook, brought a wooden stick with blue shoes",0.0,Positif
not playing top up with last grab,-0.2924,Negatif
"thank you akbar for bothering my heart's intention, sen, grabs the conventional ojek terminal looking for mobile medicine, but he is sincere in delivering the medicine until the medicine arrives at the sen app",0.5423,Positif
Forced to grab it because it's not working,-0.4588,Negatif
"In Indonesia, I'm lazy to walk because of the new cat call, I'm waiting for a roadside grab, cat call, dog, I feel like a cat call is really uncomfortable, even when I walk home, it's a cat call, right?",-0.4391,Negatif
"the day after tomorrow, how dare you do a roundabout ass, kang grab, bang, realize that after that, it's crazy, how dare you hahaha",-0.3182,Negatif
"I don't understand, greetings, grab the field tomorrow, gas, hopefully tomorrow will order amen",0.0946,Positif
Thank God I got a grab detik ad,0.5574,Positif
is coba grabgofud soup,0.0,Positif
looking for grab promo,0.0,Positif
pstu friday morning until jb installs grab house pstu ckp water kt kg rust is silent lek lek only mak rmh complain tomorrow,-0.3612,Negatif
"grab, the reward appears, I've paid anjir thousand",0.5719,Positif
"It's just after I go home, I think it's very easy to save money.",0.7688,Positif
"That's where I went back and forth to see I was there, I was sitting in the living room waiting for grabs",0.0,Positif
"malemmalem brain thinks tomorrow the bus is a walking route, grab a flying angkot",0.0,Positif
"I'm right, grab the road",0.0,Positif
"What rt bro, grab your heart's shortcut",0.0,Positif
"That's why it's sad about bus transport, grab the park, but thankfully it's home",0.3919,Positif
"I don't want to drive a motorbike, like I choose Brother, Grab, faithfully deliver where to you, lov abank",0.6222,Positif
I helped the info error just activated the disney grab account number,-0.34,Negatif
"it uses grab, doesn't open subscribe voucher, then pay the link here",-0.1027,Negatif
"I'm registering for a grab bike, if the grab helmet jacket has to be redeemed",0.3182,Positif
rahadian using grab monday,0.0,Positif
the paskal mall really has a lobby pick up drop off grab grabbike lobby,-0.1621,Negatif
rt id cloud kitchen business is dead grab open grabkitchen now the main business model,-0.6486,Negatif
"grab express fast, take a long time on the courier block phone again confused",-0.6369,Negatif
rp bid results your promise grab the month results rp order,0.3182,Positif
worth buying big size like pint discount grab suk,0.5267,Positif
"Have you ever snatched your cellphone home from the Sunter Agung stop, your wallet brought cash up Transjakar",-0.296,Negatif
hp oooh bang the position of gunungpati memorized the route,0.0,Positif
"Grab the driver for the rupiah struggle for the green tube, gaaassss",-0.3182,Negatif
mixue grab lalalala,0.0,Positif
grab the driver stop at the store in front of you to go there is no bridge,-0.5267,Negatif
"It's been a long time grabbing it, it's definitely cost-effective, when it's time to stay, thank you",0.6369,Positif
abang grab delivered food ice cream cendol pyahla ambik multiple order penart,0.0,Positif
ask for your grabpay card until hahahahaha grab it miraculous tk later buy,0.0,Positif
"the brain likes to sync the brain body blg let's cook capcay, my fingers are open, grab the fried chicken sen",0.4215,Positif
usually the road in Cikalong use grab the road is sleepy bp grab bring a plan bett cloudy weather,0.0,Positif
why is jcool twist grab pffffft really really serious,-0.2195,Negatif
mending bangkrut pdjl top up this this grab this cash,0.2023,Positif
take a grab bag pretending to be skipping,0.1027,Positif
"thanks for coming home, bro, can't pick up dad, can't pick up girlfriend, can't pick up friends, can't pick up nai",0.089,Positif
price grab bsgdjeishsnsjs rain nokharom price bedir,0.0,Positif
"from the drama, kang grab and gojek, in the morning, the mouth is sore, nauseated, tired, or not, the elbow has been tight",-0.6597,Negatif
grab mending bankruptcy is very bad,-0.5849,Negatif
old buy the disney hotstar package the year grab app,0.0,Positif
"word grabs when I leave for work, when I go home, I'm usually busy singing",-0.0516,Negatif
